Type,ContactName,Date,RemainingCredit,AllocationAmount,AllocationDate,AllocationInvoiceNumber,Status,LineAmountTypes,Description,AccountCode,Subtotal,TotalTax,Total,PrepaymentID
SPEND-PREPAYMENT,PRS/PPL,2018-05-29,0.0,10.0,2018-10-01,Gap Licence Moulton PPL PRS,PAID,NoTax,Gap Licence for music,620,49.92,0.0,49.92,a5626047-060a-4eea-9e09-3ed2e335718e
SPEND-PREPAYMENT,Physiotec,2018-07-01,0.0,79.0,2018-07-01,July - Sept,PAID,NoTax,Physiotec software,620,237.0,0.0,237.0,abfb780a-735c-4bd6-8a8b-640b85fabe83
SPEND-PREPAYMENT,Physiotec,2018-07-01,0.0,79.0,2018-08-01,July - Sept,PAID,NoTax,Physiotec software,620,237.0,0.0,237.0,abfb780a-735c-4bd6-8a8b-640b85fabe83
SPEND-PREPAYMENT,Physiotec,2018-07-01,0.0,79.0,2018-09-01,July - Sept,PAID,NoTax,Physiotec software,620,237.0,0.0,237.0,abfb780a-735c-4bd6-8a8b-640b85fabe83
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-07-27,0.0,56.4,2018-07-27,PCS Business Systems - Invoice 969549 - office 365 Sept/Aug,PAID,NoTax,Invoice 969549 - office 365 Sept/Aug,620,112.8,0.0,112.8,6fc044ff-a68e-42b8-8811-f0995a8496b6
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-07-27,0.0,56.4,2018-08-27,PCS Business Systems - Invoice 969549 - office 365 Sept/Aug,PAID,NoTax,Invoice 969549 - office 365 Sept/Aug,620,112.8,0.0,112.8,6fc044ff-a68e-42b8-8811-f0995a8496b6
SPEND-PREPAYMENT,PRS/PPL,2018-06-26,0.0,9.57,2018-06-26,Gap Licence Wootton,PAID,NoTax,Wootton PPL/PRS Gap Licence,620,47.84,0.0,47.84,ae7cf42a-b61b-4fe8-9d9f-6711e91c17d3
SPEND-PREPAYMENT,PRS/PPL,2018-06-26,0.0,9.57,2018-07-26,Gap Licence Wootton,PAID,NoTax,Wootton PPL/PRS Gap Licence,620,47.84,0.0,47.84,ae7cf42a-b61b-4fe8-9d9f-6711e91c17d3
SPEND-PREPAYMENT,PRS/PPL,2018-06-26,0.0,9.57,2018-08-26,Gap Licence Wootton,PAID,NoTax,Wootton PPL/PRS Gap Licence,620,47.84,0.0,47.84,ae7cf42a-b61b-4fe8-9d9f-6711e91c17d3
SPEND-PREPAYMENT,PRS/PPL,2018-06-26,0.0,9.57,2018-09-26,Gap Licence Wootton,PAID,NoTax,Wootton PPL/PRS Gap Licence,620,47.84,0.0,47.84,ae7cf42a-b61b-4fe8-9d9f-6711e91c17d3
SPEND-PREPAYMENT,PRS/PPL,2018-06-26,0.0,9.56,2018-10-26,Gap Licence Wootton,PAID,NoTax,Wootton PPL/PRS Gap Licence,620,47.84,0.0,47.84,ae7cf42a-b61b-4fe8-9d9f-6711e91c17d3
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-10-29,0.0,56.4,2018-10-29,OCtober office 365,PAID,NoTax,Office 365 Oct - Dec M/W,620,169.2,0.0,169.2,2e4a34eb-0515-4792-991e-b7be90208335
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-10-29,0.0,56.4,2018-11-29,OCtober office 365,PAID,NoTax,Office 365 Oct - Dec M/W,620,169.2,0.0,169.2,2e4a34eb-0515-4792-991e-b7be90208335
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-10-29,0.0,56.4,2018-12-29,OCtober office 365,PAID,NoTax,Office 365 Oct - Dec M/W,620,169.2,0.0,169.2,2e4a34eb-0515-4792-991e-b7be90208335
SPEND-PREPAYMENT,Physiotec,2018-10-03,0.0,79.0,2018-10-03,Physiotec fees,PAID,NoTax,Physiotec fees Oct-Dec,620,237.0,0.0,237.0,c8953ed1-afc1-4465-b362-cb0aede19faa
SPEND-PREPAYMENT,Physiotec,2018-10-03,0.0,79.0,2018-11-03,Physiotec fees,PAID,NoTax,Physiotec fees Oct-Dec,620,237.0,0.0,237.0,c8953ed1-afc1-4465-b362-cb0aede19faa
SPEND-PREPAYMENT,Physiotec,2018-10-03,0.0,79.0,2018-12-03,Physiotec fees,PAID,NoTax,Physiotec fees Oct-Dec,620,237.0,0.0,237.0,c8953ed1-afc1-4465-b362-cb0aede19faa
SPEND-PREPAYMENT,Leighton Consultants,2018-10-01,0.0,1100.0,2018-10-15,Rent,PAID,NoTax,Rent,620,3300.0,0.0,3300.0,f8beb349-9d42-410b-b5e6-40aae9b0aea5
SPEND-PREPAYMENT,Leighton Consultants,2018-10-01,0.0,1100.0,2018-11-15,Rent,PAID,NoTax,Rent,620,3300.0,0.0,3300.0,f8beb349-9d42-410b-b5e6-40aae9b0aea5
SPEND-PREPAYMENT,Leighton Consultants,2018-10-01,0.0,1100.0,2018-12-15,Rent,PAID,NoTax,Rent,620,3300.0,0.0,3300.0,f8beb349-9d42-410b-b5e6-40aae9b0aea5
SPEND-PREPAYMENT,Physiotec,2019-01-08,0.0,82.0,2019-01-08,Physiotec fees,PAID,NoTax,Physiotec fees ,620,246.0,0.0,246.0,6c44aa56-0be9-4c1b-93a9-b3f05c6b87c0
SPEND-PREPAYMENT,Physiotec,2019-01-08,0.0,82.0,2019-02-03,Physiotec fees,PAID,NoTax,Physiotec fees ,620,246.0,0.0,246.0,6c44aa56-0be9-4c1b-93a9-b3f05c6b87c0
SPEND-PREPAYMENT,Physiotec,2019-01-08,0.0,82.0,2019-03-03,Physiotec fees,PAID,NoTax,Physiotec fees ,620,246.0,0.0,246.0,6c44aa56-0be9-4c1b-93a9-b3f05c6b87c0
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2018-04-30,Domain renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2018-05-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2018-06-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2018-07-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2018-08-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2018-09-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2018-10-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2018-11-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2018-12-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2019-01-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2019-02-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,Studio 1,2018-04-30,0.0,10.5,2019-03-06,Domain Renewal,PAID,Inclusive,Domain renewals,620,126.0,0.0,126.0,bec061a0-253f-45b4-abbe-a9d97f1754c9
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.99,2018-04-13,ICO,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2018-05-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2018-06-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2018-07-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2018-08-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2018-09-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2018-10-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2018-11-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2018-12-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2019-01-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2019-02-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,ICO,2018-04-13,0.0,2.91,2019-03-13,ICO ,PAID,Inclusive,Information commissions office,620,35.0,0.0,35.0,853071c5-00c2-44e8-aedd-c5d3f8407e03
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.5,2018-04-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2018-05-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2018-06-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2018-07-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2018-08-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2018-09-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2018-10-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2018-11-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2018-12-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2019-01-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2019-02-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Graybrook Insurance,2018-04-16,0.0,70.41,2019-03-16,Business insurance,PAID,NoTax,Business insurance,620,845.01,0.0,845.01,7f6f130a-2b08-4f40-a64f-ec96f65c2172
SPEND-PREPAYMENT,Leighton Consultants,2018-12-31,0.0,1100.0,2019-01-15,Rent,PAID,NoTax,Rent Wootton,620,3300.0,0.0,3300.0,6f026715-b7aa-4829-b3ee-8115f8131d27
SPEND-PREPAYMENT,Leighton Consultants,2018-12-31,0.0,1100.0,2019-02-15,Rent,PAID,NoTax,Rent Wootton,620,3300.0,0.0,3300.0,6f026715-b7aa-4829-b3ee-8115f8131d27
SPEND-PREPAYMENT,Leighton Consultants,2018-12-31,0.0,1100.0,2019-03-15,Rent,PAID,NoTax,Rent Wootton,620,3300.0,0.0,3300.0,6f026715-b7aa-4829-b3ee-8115f8131d27
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2018-04-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2018-05-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2018-06-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2018-07-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2018-08-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2018-09-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2018-10-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2018-11-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2018-12-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2019-01-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2019-02-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-04-19,0.0,3.76,2019-03-19,Invoice 961945,PAID,NoTax,Invoice 961945,620,45.12,0.0,45.12,4c4f09bb-45ab-4501-8665-a4c25d88c993
SPEND-PREPAYMENT,PCS Business Systems Ltd,2019-01-23,0.0,56.4,2019-01-23,Invoice 981870,PAID,NoTax,office licence Jan/Feb/Mar,620,169.2,0.0,169.2,7fe90dc9-a553-4c38-b474-8a57739ea343
SPEND-PREPAYMENT,PCS Business Systems Ltd,2019-01-23,0.0,56.4,2019-02-22,Invoice 981870,PAID,NoTax,office licence Jan/Feb/Mar,620,169.2,0.0,169.2,7fe90dc9-a553-4c38-b474-8a57739ea343
SPEND-PREPAYMENT,PCS Business Systems Ltd,2019-01-23,0.0,56.4,2019-03-22,Invoice 981870,PAID,NoTax,office licence Jan/Feb/Mar,620,169.2,0.0,169.2,7fe90dc9-a553-4c38-b474-8a57739ea343
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2018-05-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2018-06-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2018-07-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2018-08-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2018-09-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2018-10-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2018-11-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2018-12-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2019-01-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,0.5,2019-02-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.0,2019-02-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2019-03-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,Studio 1,2018-05-10,0.0,4.5,2019-04-10,Domain renewal Invoice 0180616,PAID,Inclusive,Domain renewal inv 0180616,620,54.0,0.0,54.0,9f96dc6a-69fe-4351-960c-2d49ea8ace30
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2018-05-22,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2018-06-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2018-07-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2018-08-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2018-09-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2018-10-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2018-11-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2018-12-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2019-01-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2019-02-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2019-03-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-05-22,0.0,3.76,2019-04-17,Invoice 964114,PAID,NoTax,nvoice 964114,620,45.12,0.0,45.12,85ad1273-0639-464f-b301-a4ddb6d19a3a
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-06-20,0.0,3.76,2018-06-20,Invoice 966552,PAID,NoTax,Invoice 966552,620,45.12,0.0,45.12,118fe4e5-3c2e-4fdb-9f76-a7d28fb3c00f
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-06-20,0.0,3.76,2018-07-20,Invoice 966552,PAID,NoTax,Invoice 966552,620,45.12,0.0,45.12,118fe4e5-3c2e-4fdb-9f76-a7d28fb3c00f
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-06-20,0.0,3.76,2018-08-20,Invoice 966552,PAID,NoTax,Invoice 966552,620,45.12,0.0,45.12,118fe4e5-3c2e-4fdb-9f76-a7d28fb3c00f
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-06-20,0.0,3.76,2018-09-20,Invoice 966552,PAID,NoTax,Invoice 966552,620,45.12,0.0,45.12,118fe4e5-3c2e-4fdb-9f76-a7d28fb3c00f
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-06-20,0.0,3.76,2018-10-20,Invoice 966552,PAID,NoTax,Invoice 966552,620,45.12,0.0,45.12,118fe4e5-3c2e-4fdb-9f76-a7d28fb3c00f
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-06-20,0.0,3.76,2018-11-20,Invoice 966552,PAID,NoTax,Invoice 966552,620,45.12,0.0,45.12,118fe4e5-3c2e-4fdb-9f76-a7d28fb3c00f
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-06-20,0.0,3.76,2018-12-20,Invoice 966552,PAID,NoTax,Invoice 966552,620,45.12,0.0,45.12,118fe4e5-3c2e-4fdb-9f76-a7d28fb3c00f
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-06-20,0.0,3.76,2019-01-20,Invoice 966552,PAID,NoTax,Invoice 966552,620,45.12,0.0,45.12,118fe4e5-3c2e-4fdb-9f76-a7d28fb3c00f
SPEND-PREPAYMENT,PCS Business Systems Ltd,2018-06-20,0.0,3.76,2019-02-20,Invoice 966552,PAID,NoTax,Invoice 966552,620,45.12,0.0,45.12,118fe4e5-3c2e-4fdb-9f76-a7d28fb3c00f
